outcome,nobs,missingness_handling,p_value,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,Pr(>|t|)
Age 17 psychological distress,8314,Complete-case analysis,0.6592099381697245,-0.08146187882137204,0.12881194423993855,0.02367503270928325,mcs_sleep_risk,sampling_stratumWales - Disadvantaged,0.02367503270928325,0.05364128139319148,0.441358448090471,0.6592099381697245
Age 17 psychological distress,8314,Complete-case analysis,0.09027936000648011,-0.014399108187819545,0.2013197693239589,0.09346033056806967,mcs_sleep_risk,sampling_stratumScotland - Advantaged,0.09346033056806967,0.05503032589586185,1.698342305748505,0.09027936000648011
Age 17 psychological distress,8314,Complete-case analysis,0.14014408911516363,-0.036626951410028905,0.26150600707679617,0.11243952783338364,mcs_sleep_risk,sampling_stratumScotland - Disadvantaged,0.11243952783338364,0.07605432614459824,1.478410677383533,0.14014408911516363
Age 17 psychological distress,8314,Complete-case analysis,0.10172237046540018,-0.1980134007111949,0.017564304336553455,-0.09022454818732072,mcs_sleep_risk,sampling_stratumNorthern Ireland - Advantaged,-0.09022454818732072,0.0549943125121807,-1.6406159849227475,0.10172237046540018
Age 17 psychological distress,8314,Complete-case analysis,0.2678704467024997,-0.185167529524858,0.051295515582176085,-0.06693600697134094,mcs_sleep_risk,sampling_stratumNorthern Ireland - Disadvantaged,-0.06693600697134094,0.060322205384447464,-1.109641243133307,0.2678704467024997
Age 17 psychological distress,8314,Complete-case analysis,4.685204774088501e-31,-0.3285664545819097,-0.24087722013492122,-0.28472183735841544,mcs_sleep_risk,field_index,-0.28472183735841544,0.022369702665048074,-12.728011705014032,4.685204774088501e-31
Age 17 psychological distress,8314,Complete-case analysis,3.0596780462462007e-15,0.08779838874989336,0.14263692362975988,0.11521765618982663,mcs_sleep_risk,sleep_risk,0.11521765618982663,0.013989422163231258,8.236055417117658,3.0596780462462007e-15
Age 17 psychological distress,8314,Complete-case analysis,0.2538675551072112,-0.01182568799994153,0.04489873415884359,0.01653652307945103,mcs_sleep_risk,precision_index,0.01653652307945103,0.01447051585683294,1.1427735709672386,0.2538675551072112
Age 17 psychological distress,8314,Complete-case analysis,0.03615539520588839,0.002902394152383213,0.0825807857690275,0.04274158996070536,mcs_sleep_risk,field_index:sleep_risk,0.04274158996070536,0.020326120310368442,2.102791349655777,0.03615539520588839
Age 17 psychological distress,8314,Complete-case analysis,0.002811338725526899,0.016516452297249268,0.07831324288891965,0.04741484759308446,mcs_sleep_risk,sleep_risk:precision_index,0.04741484759308446,0.015764487395834283,3.0076999272182925,0.002811338725526899
Age 17 psychological distress,7248,Complete-case analysis,0.18351276635720548,-0.015992306042358524,0.08391124395843727,,mcs_peer_school_trouble,(Intercept),0.03395946895803938,0.025485599489998928,1.3324963758990942,0.18351276635720548
Age 17 psychological distress,7248,Complete-case analysis,1.2245488371343468e-22,0.13249632899914426,0.19356163187941128,0.16302898043927777,mcs_peer_school_trouble,baseline_distress_z,0.16302898043927777,0.015577883387823217,10.465412815114076,1.2245488371343468e-22
Age 17 psychological distress,7248,Complete-case analysis,0.13591804781879674,-0.04638837270764182,0.006252392777985203,-0.020067989964828305,mcs_peer_school_trouble,baseline_age_z,-0.020067989964828305,0.013428766705517096,-1.4944030531548025,0.13591804781879674
Age 17 psychological distress,7248,Complete-case analysis,1.1986417012983225e-39,0.17947561189485026,0.23390237222487983,0.20668899205986505,mcs_peer_school_trouble,sex_z,0.20668899205986505,0.013884377635211628,14.8864426977043,1.1986417012983225e-39
