outcome,nobs,missingness_handling,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.06290117928789563,0.40569018991932704,0.23429568460361133,abcd_neighborhood_risk,site13,0.23429568460361133,0.0874461761814876,2.6793130910304095,0.0074023952606819795
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.01464640339719378,0.3211992787020088,0.1532764376524075,abcd_neighborhood_risk,site14,0.1532764376524075,0.0856749189028578,1.7890467783949633,0.07367004061081367
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.14478859966469765,0.23395533335012503,0.044583366842713704,abcd_neighborhood_risk,site15,0.044583366842713704,0.09661835025888334,0.4614378813471263,0.6445052968687424
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.005504980450906,0.3139503663544859,0.15422269295178997,abcd_neighborhood_risk,site16,0.15422269295178997,0.08149371091974285,1.892449014914446,0.05849103572990894
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.003910627643683023,0.33715611812603163,0.17053337288485731,abcd_neighborhood_risk,site17,0.17053337288485731,0.08501160471488485,2.006001103694003,0.044911895281078765
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,0.07446787229595472,0.42939936547746804,0.2519336188867114,abcd_neighborhood_risk,site18,0.2519336188867114,0.09054374826059014,2.7824518393211632,0.005415977564231506
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.11054454329886543,0.22482805607394113,0.05714175638753786,abcd_neighborhood_risk,site19,0.05714175638753786,0.08555423453387923,0.6679009718088225,0.5042287788040309
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-4.605498001132302e-4,0.33367317307153876,0.16660631163571277,abcd_neighborhood_risk,site20,0.16660631163571277,0.08523819461011531,1.9545969080853973,0.05068838586923345
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.06751370800731128,0.2652366589326919,0.098861475462690293,abcd_neighborhood_risk,site21,0.098861475462690293,0.08488529768877631,1.164647803028933,0.24421921217386328
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.09273968306357763,-0.03831335926392099,-0.06552652116374931,abcd_neighborhood_risk,field_index,-0.06552652116374931,0.013884266275422616,-4.719480299779455,2.431411926042921e-6
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,,,,abcd_neighborhood_risk,neighborhood_risk,,,,
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.05247605697499284,-0.010869007388633549,-0.03167253218181319,abcd_neighborhood_risk,precision_index,-0.03167253218181319,0.010614043261826349,-2.984021395100601,0.0028591374675349954
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.0387658228754699,0.013641112423588862,-0.01256235522594052,abcd_neighborhood_risk,field_index:neighborhood_risk,-0.01256235522594052,0.013369116147719073,-0.9396548797344246,0.3474416921509671
Age 15 parent-reported internalising,5674,Complete-case analysis; family-cluster-robust standard errors,-0.03040775653930218,0.012131255974705456,-0.009138250282298362,abcd_neighborhood_risk,neighborhood_risk:precision_index,-0.009138250282298362,0.010851788906634602,-0.8420962074475471,0.39977587490027566
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.6873758726363726,0.6823906324957749,,abcd_peer_adversity,(Intercept),-0.002492620070298841,0.349430230901058,-0.00713338414902239,0.9943114643680642
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,0.49197337558783744,0.6508758035896245,0.571424589588731,abcd_peer_adversity,baseline_internalising_z,0.571424589588731,0.04053633367392528,14.096602672192232,7.090636333532833e-38
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.1499865255694888,0.017317977185899003,-0.0663342741917949,abcd_peer_adversity,baseline_age_z,-0.0663342741917949,0.04267972009066016,-1.5542340495881368,0.1208031128339251
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,0.03560084253569039,0.19006141258670423,0.11283112756119731,abcd_peer_adversity,sex_z,0.11283112756119731,0.0394032066456668,2.86350115044775,0.004377626468147157
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.11714452457487774,0.06628851726009079,-0.025428003657393474,abcd_peer_adversity,household_income_z,-0.025428003657393474,0.046794143325247076,-0.5434014141610362,0.5871116328013248
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.12996935799068984,0.02669090787227526,-0.051639225059207296,abcd_peer_adversity,parent_education_z,-0.051639225059207296,0.039964353536470695,-1.292132124996901,0.19694769929851663
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.20244268166871093,0.046699682917599836,-0.07787149937555556,abcd_peer_adversity,neighborhood_risk_z,-0.07787149937555556,0.06355672565977316,-1.2252283069522982,0.22110416633116456
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.6846975814641483,0.7638395847827444,0.03957100165929808,abcd_peer_adversity,site2,0.03957100165929808,0.3695247873078808,0.10708619020549845,0.9147663943516431
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.7912755444283588,0.8182990146972031,0.013511735134422219,abcd_peer_adversity,site3,0.013511735134422219,0.4106057548789699,0.032906833316072095,0.9737628830348519
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.9183393724928999,0.6386928904646278,-0.13982324101413596,abcd_peer_adversity,site4,-0.13982324101413596,0.3972021078973285,-0.3520203902097076,0.7249810858680494
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.9331832829226268,0.720094771955696,-0.1065442554834654,abcd_peer_adversity,site5,-0.1065442554834654,0.42175460583630686,-0.2526214391238155,0.8006714402069106
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.8634937666496907,0.5616886399511805,-0.15090256334925517,abcd_peer_adversity,site6,-0.15090256334925517,0.3635669404594059,-0.4150612901122791,0.6782868405801803
Age 15 parent-reported internalising,477,Complete-case analysis; family-cluster-robust standard errors,-0.6940205548420206,1.3122361397822322,0.3091077924701058,abcd_peer_adversity,site7,0.3091077924701058,0.5118001772000645,0.6039618707464308,0.5461610098497324
