outcome,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value,nobs,missingness_handling
Age 15 youth BPM internalising,-0.08041619007179239,0.2482684321890652,,combined,(Intercept),0.08392612105863641,0.08384811792368817,1.0009302908267927,0.31691317081143333,5365,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.06584404293152404,0.38415993609331045,0.1591579465808932,combined,site11,0.1591579465808932,0.11479693342470267,1.3864302976811458,0.16568579468749747,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.10557730234031423,0.2892616951384387,0.09184219639906221,combined,site12,0.09184219639906221,0.10072423405070227,0.9118182656304039,0.36191434618464813,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.12974880704425373,0.2447222960325423,0.05748674449414429,combined,site13,0.05748674449414429,0.09552834262163165,0.6017768435681712,0.5473536959877494,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.18523053338974457,0.17118246560992958,-0.007024033889907504,combined,site14,-0.007024033889907504,0.09092168341828423,-0.07725367179568719,0.9384252578105348,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.2945891758607402,0.14713985817578665,-0.07372465884247675,combined,site15,-0.07372465884247675,0.11268597807054255,-0.6542487371083949,0.5129857603442788,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.13037382253407442,0.21816899054782568,0.04389758400687564,combined,site16,0.04389758400687564,0.08891398292905615,0.4937084422581903,0.6215367447249327,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.12038950022076261,0.26289705735179364,0.07125377856551551,combined,site17,0.07125377856551551,0.09777718305422353,0.728736258703637,0.4662017927460541,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.07716313780659623,0.3142339124548532,0.1185353873241285,combined,site18,0.1185353873241285,0.09984618629118608,1.1871799187045384,0.23522074842559756,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.23585155010459577,0.14516359751594174,-0.045343976294327015,combined,site19,-0.045343976294327015,0.09719774173993304,-0.46651265227592986,0.6408716892167791,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.2647334335829807,0.09323020076833342,-0.08575161640732364,combined,site20,-0.08575161640732364,0.09131725366104952,-0.9390516355826428,0.34775577899715215,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.1856596329329912,0.18160627939278395,-0.002026676770103617,combined,site21,-0.002026676770103617,0.0936902837565753,-0.021631664339594684,0.9827427558054322,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.10553711137585882,-0.03761074184834971,-0.07157392661210427,combined,field_index,-0.07157392661210427,0.017328155491711506,-4.130498866214577,3.6869619215272145e-5,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 youth BPM attention,-0.010654783745484184,0.039006855041172246,0.01417603564784403,combined,precision_index,0.01417603564784403,0.012668785404759294,1.1189735396826996,0.26321251033599385,5098,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
