outcome,conf_low,conf_high,std_estimate,model,term,estimate,std_error,statistic,p_value,nobs,missingness_handling
Age 15 parent-reported internalising,-0.26739867240347504,0.016033554627458785,,base,(Intercept),-0.12568255888800814,0.07230413954870761,-1.7382484553784394,0.0822308902138826,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.12746131778301645,0.1701832698459595,0.14882229381448797,combined,sex_z,0.14882229381448797,0.010898457158914038,13.655354298728753,1.1087587843224712e-41,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.04585550504671643,0.013265030969741597,-0.016295237038487415,combined,household_income_z,-0.016295237038487415,0.015081769391953577,-1.0804592362472567,0.27999177648740536,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.006311645770125086,0.04230312931130318,0.017995741770589047,combined,parent_education_z,0.017995741770589047,0.012401728337099047,1.4510672449384199,0.14682619884852324,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.05682435180405185,0.011108591648864422,-0.022857880077593713,combined,neighborhood_risk_z,-0.022857880077593713,0.01732983251349905,-1.3189902475854052,0.18723501852835936,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,0.014648746834690196,0.3484496216977813,0.18154918426623576,combined,site2,0.18154918426623576,0.08515328440384978,2.1320279721122293,0.03305495551854949,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.20023061710203896,0.15915882237061732,-0.020535897365710813,combined,site3,-0.020535897365710813,0.09168097945731028,-0.22399299710004747,0.8227722437370836,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.09422116207239666,0.23683038724774624,0.0713046125876748,combined,site4,0.0713046125876748,0.08445192584697524,0.8443219248413228,0.3985314322839122,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.1314023605561228,0.22015339111312765,0.04437551527850242,combined,site5,0.04437551527850242,0.08968258971154348,0.4948063545135409,0.6207593665163931,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.041317557457388354,0.287412217190243,0.12304732986642733,combined,site6,0.12304732986642733,0.08385963638970188,1.4673010182707849,0.14235941738266605,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
Age 15 parent-reported internalising,-0.08419971051297775,0.30945944300162465,0.11262986624432345,combined,site7,0.11262986624432345,0.10042325344760265,1.1215516563909151,0.2621089754748592,5674,Complete-case analysis on a common comparison sample; family-cluster-robust standard errors
